csv_row,task,model,sequence_length,seed,old_budget,new_budget,status,evidence
2,selective_copy,gru,256,2026,16,16,ALREADY_VALID,column:budget
3,selective_copy,gru,256,2026,32,32,ALREADY_VALID,column:budget
4,selective_copy,gru,512,2026,16,16,ALREADY_VALID,column:budget
5,selective_copy,gru,512,2026,32,32,ALREADY_VALID,column:budget
6,selective_copy,gru,1024,2026,16,16,ALREADY_VALID,column:budget
7,selective_copy,gru,1024,2026,32,32,ALREADY_VALID,column:budget
8,selective_copy,gru_uniform_cache,256,2026,16,16,ALREADY_VALID,column:budget
9,selective_copy,gru_uniform_cache,256,2026,32,32,ALREADY_VALID,column:budget
10,selective_copy,gru_uniform_cache,512,2026,16,16,ALREADY_VALID,column:budget
11,selective_copy,gru_uniform_cache,512,2026,32,32,ALREADY_VALID,column:budget
12,selective_copy,gru_uniform_cache,1024,2026,16,16,ALREADY_VALID,column:budget
13,selective_copy,gru_uniform_cache,1024,2026,32,32,ALREADY_VALID,column:budget
14,selective_copy,gru_reservoir_cache,256,2026,16,16,ALREADY_VALID,column:budget
15,selective_copy,gru_reservoir_cache,256,2026,32,32,ALREADY_VALID,column:budget
16,selective_copy,gru_reservoir_cache,512,2026,16,16,ALREADY_VALID,column:budget
17,selective_copy,gru_reservoir_cache,512,2026,32,32,ALREADY_VALID,column:budget
18,selective_copy,gru_reservoir_cache,1024,2026,16,16,ALREADY_VALID,column:budget
19,selective_copy,gru_reservoir_cache,1024,2026,32,32,ALREADY_VALID,column:budget
20,selective_copy,budgetmem_r,256,2026,16,16,ALREADY_VALID,column:budget
21,selective_copy,budgetmem_r,256,2026,32,32,ALREADY_VALID,column:budget
22,selective_copy,budgetmem_r,512,2026,16,16,ALREADY_VALID,column:budget
23,selective_copy,budgetmem_r,512,2026,32,32,ALREADY_VALID,column:budget
24,selective_copy,budgetmem_r,1024,2026,16,16,ALREADY_VALID,column:budget
25,selective_copy,budgetmem_r,1024,2026,32,32,ALREADY_VALID,column:budget
26,associative_recall,gru,256,2026,16,16,ALREADY_VALID,column:budget
27,associative_recall,gru,256,2026,32,32,ALREADY_VALID,column:budget
28,associative_recall,gru,512,2026,16,16,ALREADY_VALID,column:budget
29,associative_recall,gru,512,2026,32,32,ALREADY_VALID,column:budget
30,associative_recall,gru,1024,2026,16,16,ALREADY_VALID,column:budget
31,associative_recall,gru,1024,2026,32,32,ALREADY_VALID,column:budget
32,associative_recall,gru_uniform_cache,256,2026,16,16,ALREADY_VALID,column:budget
33,associative_recall,gru_uniform_cache,256,2026,32,32,ALREADY_VALID,column:budget
34,associative_recall,gru_uniform_cache,512,2026,16,16,ALREADY_VALID,column:budget
35,associative_recall,gru_uniform_cache,512,2026,32,32,ALREADY_VALID,column:budget
36,associative_recall,gru_uniform_cache,1024,2026,16,16,ALREADY_VALID,column:budget
37,associative_recall,gru_uniform_cache,1024,2026,32,32,ALREADY_VALID,column:budget
38,associative_recall,gru_reservoir_cache,256,2026,16,16,ALREADY_VALID,column:budget
39,associative_recall,gru_reservoir_cache,256,2026,32,32,ALREADY_VALID,column:budget
40,associative_recall,gru_reservoir_cache,512,2026,16,16,ALREADY_VALID,column:budget
41,associative_recall,gru_reservoir_cache,512,2026,32,32,ALREADY_VALID,column:budget
42,associative_recall,gru_reservoir_cache,1024,2026,16,16,ALREADY_VALID,column:budget
43,associative_recall,gru_reservoir_cache,1024,2026,32,32,ALREADY_VALID,column:budget
44,associative_recall,budgetmem_r,256,2026,16,16,ALREADY_VALID,column:budget
45,associative_recall,budgetmem_r,256,2026,32,32,ALREADY_VALID,column:budget
46,associative_recall,budgetmem_r,512,2026,16,16,ALREADY_VALID,column:budget
47,associative_recall,budgetmem_r,512,2026,32,32,ALREADY_VALID,column:budget
48,associative_recall,budgetmem_r,1024,2026,16,16,ALREADY_VALID,column:budget
49,associative_recall,budgetmem_r,1024,2026,32,32,ALREADY_VALID,column:budget
50,distractor_heavy_retrieval,gru,256,2026,16,16,ALREADY_VALID,column:budget
51,distractor_heavy_retrieval,gru,256,2026,32,32,ALREADY_VALID,column:budget
52,distractor_heavy_retrieval,gru,512,2026,16,16,ALREADY_VALID,column:budget
53,distractor_heavy_retrieval,gru,512,2026,32,32,ALREADY_VALID,column:budget
54,distractor_heavy_retrieval,gru,1024,2026,16,16,ALREADY_VALID,column:budget
55,distractor_heavy_retrieval,gru,1024,2026,32,32,ALREADY_VALID,column:budget
56,distractor_heavy_retrieval,gru_uniform_cache,256,2026,16,16,ALREADY_VALID,column:budget
57,distractor_heavy_retrieval,gru_uniform_cache,256,2026,32,32,ALREADY_VALID,column:budget
58,distractor_heavy_retrieval,gru_uniform_cache,512,2026,16,16,ALREADY_VALID,column:budget
59,distractor_heavy_retrieval,gru_uniform_cache,512,2026,32,32,ALREADY_VALID,column:budget
60,distractor_heavy_retrieval,gru_uniform_cache,1024,2026,16,16,ALREADY_VALID,column:budget
61,distractor_heavy_retrieval,gru_uniform_cache,1024,2026,32,32,ALREADY_VALID,column:budget
62,distractor_heavy_retrieval,gru_reservoir_cache,256,2026,16,16,ALREADY_VALID,column:budget
63,distractor_heavy_retrieval,gru_reservoir_cache,256,2026,32,32,ALREADY_VALID,column:budget
64,distractor_heavy_retrieval,gru_reservoir_cache,512,2026,16,16,ALREADY_VALID,column:budget
65,distractor_heavy_retrieval,gru_reservoir_cache,512,2026,32,32,ALREADY_VALID,column:budget
66,distractor_heavy_retrieval,gru_reservoir_cache,1024,2026,16,16,ALREADY_VALID,column:budget
67,distractor_heavy_retrieval,gru_reservoir_cache,1024,2026,32,32,ALREADY_VALID,column:budget
68,distractor_heavy_retrieval,budgetmem_r,256,2026,16,16,ALREADY_VALID,column:budget
69,distractor_heavy_retrieval,budgetmem_r,256,2026,32,32,ALREADY_VALID,column:budget
70,distractor_heavy_retrieval,budgetmem_r,512,2026,16,16,ALREADY_VALID,column:budget
71,distractor_heavy_retrieval,budgetmem_r,512,2026,32,32,ALREADY_VALID,column:budget
72,distractor_heavy_retrieval,budgetmem_r,1024,2026,16,16,ALREADY_VALID,column:budget
73,distractor_heavy_retrieval,budgetmem_r,1024,2026,32,32,ALREADY_VALID,column:budget
