step,epoch,batch,budget,loss,raw_gradient_norm,exceeds_threshold,largest_parameter,largest_parameter_gradient
1,1,1,16,5.40657901763916,7.022478133585988,False,core.recurrent_cell.weight_hh,4.014789581298828
2,1,2,32,5.537753105163574,5.940895487585022,False,core.output_head.weight,3.506488561630249
3,1,3,16,5.75693941116333,7.323035436897346,False,core.recurrent_cell.weight_hh,4.037699222564697
4,1,4,32,5.4174113273620605,9.682109405341691,False,core.recurrent_cell.weight_hh,5.547782897949219
5,1,5,16,5.1553192138671875,5.8760162833540415,False,core.recurrent_cell.weight_hh,3.0456409454345703
6,1,6,32,5.71265983581543,7.845285246442433,False,core.recurrent_cell.weight_hh,3.9155962467193604
7,1,7,16,5.4807024002075195,5.74564540020993,False,core.recurrent_cell.weight_hh,2.992475986480713
8,1,8,32,5.603877544403076,7.037515278742291,False,core.recurrent_cell.weight_hh,3.7392971515655518
9,1,9,16,5.295110702514648,7.9971387773069775,False,core.fusion.gate.weight,4.3391900062561035
10,1,10,32,5.640506744384766,5.472479056705508,False,core.output_head.weight,2.8063955307006836
11,1,11,16,5.447025775909424,6.900931268638457,False,core.recurrent_cell.weight_hh,3.570472002029419
12,1,12,32,5.853452205657959,5.999819318986228,False,core.recurrent_cell.weight_hh,3.1252176761627197
13,1,13,16,5.369664669036865,18.82475873412145,False,core.recurrent_cell.weight_hh,11.048233032226562
14,1,14,32,4.9773430824279785,9.290651856587587,False,core.fusion.gate.weight,5.242231845855713
15,1,15,16,5.4806294441223145,8.110024302453564,False,core.fusion.gate.weight,4.8655500411987305
16,1,16,32,5.640262603759766,5.714926972703685,False,core.output_head.weight,2.818296432495117
17,1,17,16,5.2640180587768555,4.125641542262072,False,core.output_head.weight,2.784788131713867
18,1,18,32,5.4040703773498535,21.883484537939047,False,core.fusion.gate.weight,13.413022994995117
19,1,19,16,5.482654094696045,7.203633533945683,False,core.recurrent_cell.weight_hh,3.59660005569458
20,1,20,32,5.37443733215332,4.703910445192084,False,core.output_head.weight,3.035975456237793
21,1,21,16,5.64324951171875,8.65187624988618,False,core.recurrent_cell.weight_hh,4.640223026275635
22,1,22,32,5.511119365692139,7.6917079724874835,False,core.recurrent_cell.weight_hh,4.138503074645996
23,1,23,16,5.631765365600586,10.660878546193576,False,core.recurrent_cell.weight_hh,6.044532775878906
24,1,24,32,5.535661220550537,10.351659629300695,False,core.fusion.gate.weight,6.0942535400390625
25,1,25,16,5.602259635925293,8.916443876136547,False,core.recurrent_cell.weight_hh,4.647195816040039
26,1,26,32,5.267777442932129,16.380411152914867,False,core.fusion.gate.weight,9.64635944366455
27,1,27,16,5.488771438598633,22.815791924963843,False,core.recurrent_cell.weight_hh,12.192338943481445
28,1,28,32,5.217113018035889,10.767397444487615,False,core.fusion.gate.weight,6.000220775604248
29,1,29,16,5.376649379730225,7.710459852455747,False,core.recurrent_cell.weight_hh,4.214925289154053
30,1,30,32,5.688215255737305,10.175286687572218,False,core.fusion.gate.weight,5.867228031158447
31,1,31,16,5.343906879425049,7.775316876386956,False,core.recurrent_cell.weight_hh,4.212383270263672
32,1,32,32,5.25327730178833,5.246167678134062,False,core.output_head.weight,2.8032736778259277
33,1,33,16,5.581376552581787,7.092077177125864,False,core.recurrent_cell.weight_hh,3.3983583450317383
34,1,34,32,5.457472801208496,6.767413645688517,False,core.fusion.memory_projection.weight,3.113032817840576
35,1,35,16,4.966646671295166,7.073487787054494,False,core.recurrent_cell.weight_hh,3.8074440956115723
36,1,36,32,5.325096130371094,7.417463708781874,False,core.fusion.gate.weight,3.596135377883911
37,1,37,16,5.625502586364746,4.185130724931103,False,core.output_head.weight,2.812735080718994
38,1,38,32,5.55844783782959,10.03792354161178,False,core.fusion.gate.weight,5.476027965545654
39,1,39,16,5.483335971832275,6.8137155565757155,False,core.recurrent_cell.weight_hh,3.2527759075164795
40,1,40,32,5.543065547943115,7.269682600469093,False,core.recurrent_cell.weight_hh,3.602644443511963
41,1,41,16,5.4540791511535645,5.132415335948333,False,core.output_head.weight,2.797333002090454
42,1,42,32,5.0779032707214355,16.563910725062446,False,core.fusion.gate.weight,9.82394027709961
43,1,43,16,5.121538162231445,12.777021216559287,False,core.fusion.gate.weight,7.338223934173584
44,1,44,32,5.269509792327881,12.835721210182907,False,core.recurrent_cell.weight_hh,7.124831199645996
45,1,45,16,5.722465515136719,37.35091426142806,False,core.fusion.gate.weight,21.51067543029785
46,1,46,32,5.48417329788208,5.357279467632416,False,core.output_head.weight,2.7878875732421875
47,1,47,16,5.688523769378662,5.833816069166328,False,core.output_head.weight,2.8059232234954834
48,1,48,32,5.312054634094238,7.752730421034375,False,core.recurrent_cell.weight_hh,3.951833486557007
49,2,1,32,5.328783988952637,4.814008150454292,False,core.output_head.weight,2.7879505157470703
50,2,2,16,5.345218181610107,8.344538864938269,False,core.recurrent_cell.weight_hh,4.735233306884766
51,2,3,32,5.297895431518555,8.243043405762014,False,core.fusion.gate.weight,4.664662837982178
52,2,4,16,5.5964531898498535,8.832131919562109,False,core.recurrent_cell.weight_hh,4.714046478271484
53,2,5,32,5.076769828796387,11.37333758709781,False,core.recurrent_cell.weight_hh,6.10091495513916
54,2,6,16,5.393936634063721,6.464657824062697,False,core.fusion.memory_projection.weight,3.3360495567321777
55,2,7,32,5.4426069259643555,6.602679524765178,False,core.recurrent_cell.weight_hh,3.3628475666046143
56,2,8,16,5.590872287750244,3.9698958115753995,False,core.output_head.weight,2.820662260055542
57,2,9,32,5.291008472442627,9.690425147881065,False,core.fusion.memory_projection.weight,5.173995018005371
58,2,10,16,5.382429122924805,15.136935135831695,False,core.fusion.gate.weight,8.268162727355957
59,2,11,32,5.567119598388672,22.222711541185323,False,core.fusion.gate.weight,13.512063026428223
60,2,12,16,5.176939487457275,5.501106799316269,False,core.output_head.weight,2.7934603691101074
61,2,13,32,5.26904296875,14.905229336545426,False,core.fusion.gate.weight,8.240243911743164
62,2,14,16,5.2453083992004395,20.33228070749558,False,core.fusion.gate.weight,10.684660911560059
63,2,15,32,5.306550025939941,5.752754738558206,False,core.recurrent_cell.weight_hh,3.0480782985687256
64,2,16,16,4.9572434425354,8.521945003212485,False,core.recurrent_cell.weight_hh,4.547392845153809
65,2,17,32,5.4437174797058105,5.627469268466613,False,core.output_head.weight,2.804140090942383
66,2,18,16,5.291550636291504,8.821605324408385,False,core.fusion.gate.weight,4.5739359855651855
67,2,19,32,4.802599906921387,6.200498651345694,False,core.fusion.memory_projection.weight,3.139429807662964
68,2,20,16,5.364550590515137,5.033368700401111,False,core.output_head.weight,2.778081178665161
69,2,21,32,5.287750720977783,11.089762694553697,False,core.fusion.memory_projection.weight,5.752549171447754
70,2,22,16,5.333395481109619,33.95152020407381,False,core.recurrent_cell.weight_hh,18.837072372436523
71,2,23,32,5.619049072265625,28.028045276800032,False,core.fusion.gate.weight,15.000600814819336
72,2,24,16,5.706820011138916,33.9085683100276,False,core.recurrent_cell.weight_hh,17.702529907226562
73,2,25,32,5.266843795776367,5.534863427800144,False,core.output_head.weight,2.788986921310425
74,2,26,16,5.1350555419921875,25.46619469824306,False,core.fusion.memory_projection.weight,13.931588172912598
