run_id,phase,model,task,dataset,sequence_length,memory_budget,seed,status,exit_code,start_utc,end_utc,duration_seconds,config_sha256,log_path,metric_name,metric_value
synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2026,synthetic-primary,gru,selective_copy,synthetic,256,32,2026,PASS,0,2026-07-22T03:34:57Z,2026-07-22T03:34:57Z,0,98e037ee86a8f7f8a218e2b00dcab8a29d6f523b15e4c36cd7531ad2e85fc705,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2026.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2026,synthetic-primary,gru,selective_copy,synthetic,256,64,2026,PASS,0,2026-07-22T03:34:58Z,2026-07-22T03:34:58Z,0,204b9339540bd3b80f869b6522c00af20c254ef26cbcad32434f80f32e6656ad,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2026.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2027,synthetic-primary,gru,selective_copy,synthetic,256,32,2027,PASS,0,2026-07-22T03:34:58Z,2026-07-22T03:34:59Z,1,ccd130ffbfa850c0c253e4194a9d7c616221334ca1c6439788173df667fef55d,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2027.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2027,synthetic-primary,gru,selective_copy,synthetic,256,64,2027,PASS,0,2026-07-22T03:34:59Z,2026-07-22T03:34:59Z,0,37b6cd2e497903e207a3a9a5b875b0958733cdf3c771b4ba2bf45e5c7d5eac8e,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2027.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2028,synthetic-primary,gru,selective_copy,synthetic,256,32,2028,PASS,0,2026-07-22T03:35:00Z,2026-07-22T03:35:00Z,0,0eb32dfb7befab8bf094d685c2976af7d08658dd13b66a73a00d84a6a25ceded,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2028.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2028,synthetic-primary,gru,selective_copy,synthetic,256,64,2028,PASS,0,2026-07-22T03:35:01Z,2026-07-22T03:35:01Z,0,9f5283ab83c7ba6d2fa87a15dfdf2e016b77bbd372494449067caaaca5b7a76e,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2028.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2029,synthetic-primary,gru,selective_copy,synthetic,256,32,2029,PASS,0,2026-07-22T03:35:02Z,2026-07-22T03:35:02Z,0,a9d0b830d1f4a572222a4bd4d65cc8af613fe6cf55e480e9a0f7958140bedb8b,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2029.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2029,synthetic-primary,gru,selective_copy,synthetic,256,64,2029,PASS,0,2026-07-22T03:35:02Z,2026-07-22T03:35:03Z,1,1a7ff4a679b970fa2019294d9b85e40108d73694a6749c4c0774ca08e67e5d92,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2029.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2030,synthetic-primary,gru,selective_copy,synthetic,256,32,2030,PASS,0,2026-07-22T03:35:03Z,2026-07-22T03:35:03Z,0,0e8b41674f0a763ac77c6f7c3936dc283b1e44c8a031b9b8b67c23d62d4b6984,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b32_s2030.log,,
synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2030,synthetic-primary,gru,selective_copy,synthetic,256,64,2030,PASS,0,2026-07-22T03:35:04Z,2026-07-22T03:35:04Z,0,ffcac59dc7d4caaf652c0f7a7e8b10d824bc615c9e50f9aaf54d23552503e801,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_l256_b64_s2030.log,,
synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b32_s2026,synthetic-primary,gru_uniform,selective_copy,synthetic,256,32,2026,PASS,0,2026-07-22T03:35:05Z,2026-07-22T03:35:05Z,0,533d3da39eeb3ac19771bdaceaf78ccda8a05a5ec66271da1bf13ac904575236,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b32_s2026.log,,
synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b64_s2026,synthetic-primary,gru_uniform,selective_copy,synthetic,256,64,2026,PASS,0,2026-07-22T03:35:05Z,2026-07-22T03:35:06Z,1,f1d8346ccc5570f578e95b50fbb324d39ebf89b994a096126d0c0d3ec0d4c7ec,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b64_s2026.log,,
synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b32_s2027,synthetic-primary,gru_uniform,selective_copy,synthetic,256,32,2027,PASS,0,2026-07-22T03:35:06Z,2026-07-22T03:35:07Z,1,5652c25b12a736a7d911e740293e3c7c681a3ad253fbaec70c2214595cba9a65,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b32_s2027.log,,
synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b64_s2027,synthetic-primary,gru_uniform,selective_copy,synthetic,256,64,2027,PASS,0,2026-07-22T03:35:07Z,2026-07-22T03:35:07Z,0,dd9c0c470e4152dd2142609b9f53d324d8d6d55e854d2e3ec6ccca5165952cec,/mnt/c/Users/nejat/OneDrive/Desktop/UN/Skills/GitHub 2026/budgetmem-r/artifacts/section18/logs/synthetic-primary/synthetic_primary_selective_copy_synthetic_gru_uniform_l256_b64_s2027.log,,
