architecture_family,trial_index,status,selection_split,objective_name,objective_value,direction,duration_seconds,trial_dir,config_path,metrics_path,error,auxiliary_loss_coefficient,budget_penalty,dropout,gradient_clipping,hidden_dimension,learning_rate,memory_controller_temperature,number_of_layers,retrieval_top_k,weight_decay,write_threshold
gru,0,COMPLETE,validation,token_accuracy,0.0,maximize,200.10648455600312,reports/logs/hyperparameter_search/full/gru/trial_000,reports/logs/hyperparameter_search/full/gru/trial_000/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_000/metrics.json,,,,0.0,1.0,192,0.00019323760700540112,,2,,0.001,
gru,1,COMPLETE,validation,token_accuracy,0.0,maximize,155.54227226699004,reports/logs/hyperparameter_search/full/gru/trial_001,reports/logs/hyperparameter_search/full/gru/trial_001/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_001/metrics.json,,,,0.1,1.0,128,0.00014370009593172453,,3,,0.0,
gru,2,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,146.60815628200362,reports/logs/hyperparameter_search/full/gru/trial_002,reports/logs/hyperparameter_search/full/gru/trial_002/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_002/metrics.json,,,,0.3,5.0,192,0.0017037747726536426,,2,,0.001,
gru,3,COMPLETE,validation,token_accuracy,0.0,maximize,114.70004025299568,reports/logs/hyperparameter_search/full/gru/trial_003,reports/logs/hyperparameter_search/full/gru/trial_003/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_003/metrics.json,,,,0.3,1.0,128,0.0001598685395976089,,2,,1e-05,
gru,4,COMPLETE,validation,token_accuracy,0.0,maximize,77.31512599599955,reports/logs/hyperparameter_search/full/gru/trial_004,reports/logs/hyperparameter_search/full/gru/trial_004/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_004/metrics.json,,,,0.0,0.5,128,0.00011711775145537243,,1,,1e-05,
gru,5,COMPLETE,validation,token_accuracy,0.0,maximize,170.2569274000125,reports/logs/hyperparameter_search/full/gru/trial_005,reports/logs/hyperparameter_search/full/gru/trial_005/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_005/metrics.json,,,,0.0,2.0,192,0.000474136808921033,,3,,0.0,
gru,6,COMPLETE,validation,token_accuracy,0.0,maximize,74.58358713699272,reports/logs/hyperparameter_search/full/gru/trial_006,reports/logs/hyperparameter_search/full/gru/trial_006/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_006/metrics.json,,,,0.0,5.0,128,0.001875216861798551,,1,,0.0,
gru,7,COMPLETE,validation,token_accuracy,0.0,maximize,151.566844564004,reports/logs/hyperparameter_search/full/gru/trial_007,reports/logs/hyperparameter_search/full/gru/trial_007/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_007/metrics.json,,,,0.1,1.0,128,0.00015476192969264113,,3,,1e-05,
gru,8,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,63.32471756100131,reports/logs/hyperparameter_search/full/gru/trial_008,reports/logs/hyperparameter_search/full/gru/trial_008/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_008/metrics.json,,,,0.0,1.0,64,0.000767552581537224,,1,,1e-06,
gru,9,COMPLETE,validation,token_accuracy,0.0,maximize,86.97803074900003,reports/logs/hyperparameter_search/full/gru/trial_009,reports/logs/hyperparameter_search/full/gru/trial_009/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_009/metrics.json,,,,0.3,1.0,96,0.000776523311680977,,2,,1e-05,
gru,10,COMPLETE,validation,token_accuracy,0.0,maximize,62.73607075899781,reports/logs/hyperparameter_search/full/gru/trial_010,reports/logs/hyperparameter_search/full/gru/trial_010/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_010/metrics.json,,,,0.0,0.5,64,0.0019910009382645712,,1,,0.001,
gru,11,COMPLETE,validation,token_accuracy,0.0,maximize,159.4803940270067,reports/logs/hyperparameter_search/full/gru/trial_011,reports/logs/hyperparameter_search/full/gru/trial_011/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_011/metrics.json,,,,0.0,2.0,192,0.0008605374264630904,,3,,0.001,
gru,12,COMPLETE,validation,token_accuracy,0.0,maximize,128.48296747799031,reports/logs/hyperparameter_search/full/gru/trial_012,reports/logs/hyperparameter_search/full/gru/trial_012/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_012/metrics.json,,,,0.1,1.0,192,0.0007372844374963545,,2,,0.0001,
gru,13,COMPLETE,validation,token_accuracy,0.0,maximize,63.51739268000529,reports/logs/hyperparameter_search/full/gru/trial_013,reports/logs/hyperparameter_search/full/gru/trial_013/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_013/metrics.json,,,,0.0,2.0,64,0.0021048121518741215,,1,,0.0001,
gru,14,COMPLETE,validation,token_accuracy,0.0,maximize,129.83333419798873,reports/logs/hyperparameter_search/full/gru/trial_014,reports/logs/hyperparameter_search/full/gru/trial_014/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_014/metrics.json,,,,0.3,1.0,96,0.00015806242244179483,,3,,1e-05,
gru,15,COMPLETE,validation,token_accuracy,0.0,maximize,120.70894869900076,reports/logs/hyperparameter_search/full/gru/trial_015,reports/logs/hyperparameter_search/full/gru/trial_015/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_015/metrics.json,,,,0.0,2.0,128,0.0002379530342136231,,2,,0.001,
gru,16,COMPLETE,validation,token_accuracy,0.0,maximize,63.30220050399657,reports/logs/hyperparameter_search/full/gru/trial_016,reports/logs/hyperparameter_search/full/gru/trial_016/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_016/metrics.json,,,,0.0,5.0,64,0.0003481079531864596,,1,,1e-05,
gru,17,COMPLETE,validation,token_accuracy,0.0,maximize,87.16569190699374,reports/logs/hyperparameter_search/full/gru/trial_017,reports/logs/hyperparameter_search/full/gru/trial_017/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_017/metrics.json,,,,0.2,1.0,96,0.0008250149046105294,,2,,0.0001,
gru,18,COMPLETE,validation,token_accuracy,0.0,maximize,93.41497755800083,reports/logs/hyperparameter_search/full/gru/trial_018,reports/logs/hyperparameter_search/full/gru/trial_018/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_018/metrics.json,,,,0.0,2.0,128,0.0008972235849187504,,2,,0.001,
gru,19,COMPLETE,validation,token_accuracy,0.0,maximize,254.51017890100775,reports/logs/hyperparameter_search/full/gru/trial_019,reports/logs/hyperparameter_search/full/gru/trial_019/trial_config.yaml,reports/logs/hyperparameter_search/full/gru/trial_019/metrics.json,,,,0.1,5.0,192,0.00014331242257602597,,3,,1e-06,
gru_uniform,0,COMPLETE,validation,token_accuracy,0.0,maximize,78.73783372799517,reports/logs/hyperparameter_search/full/gru_uniform/trial_000,reports/logs/hyperparameter_search/full/gru_uniform/trial_000/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_000/metrics.json,,,,0.0,1.0,192,0.00020406528293781276,,1,,0.0001,
gru_uniform,1,COMPLETE,validation,token_accuracy,0.0,maximize,79.4814425020013,reports/logs/hyperparameter_search/full/gru_uniform/trial_001,reports/logs/hyperparameter_search/full/gru_uniform/trial_001/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_001/metrics.json,,,,0.0,1.0,192,0.0002993698670305399,,1,,0.0001,
gru_uniform,2,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,73.26884042499296,reports/logs/hyperparameter_search/full/gru_uniform/trial_002,reports/logs/hyperparameter_search/full/gru_uniform/trial_002/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_002/metrics.json,,,,0.0,2.0,96,0.00024606785994528034,,1,,1e-06,
gru_uniform,3,COMPLETE,validation,token_accuracy,0.0,maximize,71.95598982500087,reports/logs/hyperparameter_search/full/gru_uniform/trial_003,reports/logs/hyperparameter_search/full/gru_uniform/trial_003/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_003/metrics.json,,,,0.0,2.0,96,0.0007652577600854032,,1,,0.0001,
gru_uniform,4,COMPLETE,validation,token_accuracy,0.0,maximize,99.27045125800942,reports/logs/hyperparameter_search/full/gru_uniform/trial_004,reports/logs/hyperparameter_search/full/gru_uniform/trial_004/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_004/metrics.json,,,,0.0,2.0,64,0.001745154702016192,,1,,0.001,
gru_uniform,5,COMPLETE,validation,token_accuracy,0.0,maximize,108.5617814319994,reports/logs/hyperparameter_search/full/gru_uniform/trial_005,reports/logs/hyperparameter_search/full/gru_uniform/trial_005/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_005/metrics.json,,,,0.0,1.0,64,0.001458613318433269,,1,,1e-06,
gru_uniform,6,COMPLETE,validation,token_accuracy,0.041666666666666664,maximize,108.71448272000998,reports/logs/hyperparameter_search/full/gru_uniform/trial_006,reports/logs/hyperparameter_search/full/gru_uniform/trial_006/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_006/metrics.json,,,,0.0,2.0,96,0.0015982322979793216,,1,,1e-06,
gru_uniform,7,COMPLETE,validation,token_accuracy,0.0,maximize,125.37610464700265,reports/logs/hyperparameter_search/full/gru_uniform/trial_007,reports/logs/hyperparameter_search/full/gru_uniform/trial_007/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_007/metrics.json,,,,0.0,5.0,192,0.0024214036599530344,,1,,1e-06,
gru_uniform,8,COMPLETE,validation,token_accuracy,0.0,maximize,116.3480187660025,reports/logs/hyperparameter_search/full/gru_uniform/trial_008,reports/logs/hyperparameter_search/full/gru_uniform/trial_008/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_008/metrics.json,,,,0.0,0.5,128,0.0012718041050137686,,1,,1e-05,
gru_uniform,9,COMPLETE,validation,token_accuracy,0.0,maximize,113.06685099500464,reports/logs/hyperparameter_search/full/gru_uniform/trial_009,reports/logs/hyperparameter_search/full/gru_uniform/trial_009/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_009/metrics.json,,,,0.0,0.5,128,0.0011035945028927826,,1,,0.0001,
gru_uniform,10,COMPLETE,validation,token_accuracy,0.0,maximize,108.65719889001048,reports/logs/hyperparameter_search/full/gru_uniform/trial_010,reports/logs/hyperparameter_search/full/gru_uniform/trial_010/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_010/metrics.json,,,,0.0,5.0,64,0.0010502419273018236,,1,,1e-06,
gru_uniform,11,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,109.85529925700394,reports/logs/hyperparameter_search/full/gru_uniform/trial_011,reports/logs/hyperparameter_search/full/gru_uniform/trial_011/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_011/metrics.json,,,,0.0,2.0,128,0.0006822840440358386,,1,,0.0001,
gru_uniform,12,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,112.04414336600166,reports/logs/hyperparameter_search/full/gru_uniform/trial_012,reports/logs/hyperparameter_search/full/gru_uniform/trial_012/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_012/metrics.json,,,,0.0,0.5,192,0.00014907003309786422,,1,,0.0001,
gru_uniform,13,COMPLETE,validation,token_accuracy,0.0,maximize,227.5129285280127,reports/logs/hyperparameter_search/full/gru_uniform/trial_013,reports/logs/hyperparameter_search/full/gru_uniform/trial_013/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_013/metrics.json,,,,0.0,5.0,64,0.00012705169361907986,,1,,0.0001,
gru_uniform,14,COMPLETE,validation,token_accuracy,0.0,maximize,163.71816046799358,reports/logs/hyperparameter_search/full/gru_uniform/trial_014,reports/logs/hyperparameter_search/full/gru_uniform/trial_014/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_014/metrics.json,,,,0.0,2.0,128,0.001774788539833076,,1,,0.001,
gru_uniform,15,COMPLETE,validation,token_accuracy,0.0,maximize,158.61614405400178,reports/logs/hyperparameter_search/full/gru_uniform/trial_015,reports/logs/hyperparameter_search/full/gru_uniform/trial_015/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_015/metrics.json,,,,0.0,5.0,96,0.0011492805788881491,,1,,0.0001,
gru_uniform,16,COMPLETE,validation,token_accuracy,0.0,maximize,151.97424243899877,reports/logs/hyperparameter_search/full/gru_uniform/trial_016,reports/logs/hyperparameter_search/full/gru_uniform/trial_016/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_016/metrics.json,,,,0.0,2.0,64,0.0005552284659880303,,1,,1e-05,
gru_uniform,17,COMPLETE,validation,token_accuracy,0.020833333333333332,maximize,152.93066178099252,reports/logs/hyperparameter_search/full/gru_uniform/trial_017,reports/logs/hyperparameter_search/full/gru_uniform/trial_017/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_017/metrics.json,,,,0.0,2.0,64,0.0006207982899868329,,1,,1e-06,
gru_uniform,18,COMPLETE,validation,token_accuracy,0.0,maximize,162.57931166100025,reports/logs/hyperparameter_search/full/gru_uniform/trial_018,reports/logs/hyperparameter_search/full/gru_uniform/trial_018/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_018/metrics.json,,,,0.0,2.0,128,0.0003529419720701864,,1,,0.001,
gru_uniform,19,COMPLETE,validation,token_accuracy,0.0,maximize,159.0021759730007,reports/logs/hyperparameter_search/full/gru_uniform/trial_019,reports/logs/hyperparameter_search/full/gru_uniform/trial_019/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_uniform/trial_019/metrics.json,,,,0.0,0.5,128,0.001778888114128411,,1,,1e-06,
gru_reservoir,0,COMPLETE,validation,token_accuracy,0.0,maximize,197.74153437599307,reports/logs/hyperparameter_search/full/gru_reservoir/trial_000,reports/logs/hyperparameter_search/full/gru_reservoir/trial_000/trial_config.yaml,reports/logs/hyperparameter_search/full/gru_reservoir/trial_000/metrics.json,,,,0.0,1.0,96,0.0004056166401079897,,1,,1e-06,
